product;profile;fitting;filling;lamination;configuration;id
1;3;1;1;2;8;182
1;3;1;1;3;8;183
1;3;1;2;1;8;184
1;3;1;2;2;8;185
1;3;1;2;3;8;186
1;4;1;1;1;8;187
1;4;1;1;2;8;188
1;4;1;1;3;8;189
1;4;1;2;1;8;190
1;4;1;2;2;8;191
1;4;1;2;3;8;192
1;1;1;1;1;9;193
1;1;1;1;2;9;194
1;1;1;1;3;9;195
1;1;1;2;1;9;196
1;1;1;2;2;9;197
1;1;1;2;3;9;198
1;2;1;1;1;9;199
1;2;1;1;2;9;200
1;2;1;1;3;9;201
1;2;1;2;1;9;202
1;2;1;2;2;9;203
1;2;1;2;3;9;204
1;3;1;1;1;9;205
1;3;1;1;2;9;206
1;3;1;1;3;9;207
1;3;1;2;1;9;208
1;3;1;2;2;9;209
1;3;1;2;3;9;210
1;4;1;1;1;9;211
1;4;1;1;2;9;212
1;4;1;1;3;9;213
1;4;1;2;1;9;214
1;4;1;2;2;9;215
1;4;1;2;3;9;216
1;1;1;1;1;10;217
1;1;1;1;2;10;218
1;1;1;1;3;10;219
1;1;1;2;1;10;220
1;1;1;2;2;10;221
1;1;1;2;3;10;222
1;2;1;1;1;10;223
1;2;1;1;2;10;224
1;2;1;1;3;10;225
1;2;1;2;1;10;226
1;2;1;2;2;10;227
1;2;1;2;3;10;228
1;3;1;1;1;10;229
1;3;1;1;2;10;230
1;3;1;1;3;10;231
1;3;1;2;1;10;232
1;3;1;2;2;10;233
1;3;1;2;3;10;234
1;4;1;1;1;10;235
1;4;1;1;2;10;236
1;4;1;1;3;10;237
1;4;1;2;1;10;238
1;4;1;2;2;10;239
1;4;1;2;3;10;240
2;1;1;1;1;2;241
2;1;1;1;2;2;242
2;1;1;1;3;2;243
2;1;1;2;1;2;244
2;1;1;2;2;2;245
2;1;1;2;3;2;246
2;2;1;1;1;2;247
2;2;1;1;2;2;248
2;2;1;1;3;2;249
2;2;1;2;1;2;250
2;2;1;2;2;2;251
2;2;1;2;3;2;252
2;3;1;1;1;2;253
2;3;1;1;2;2;254
2;3;1;1;3;2;255
2;3;1;2;1;2;256
2;3;1;2;2;2;257
2;3;1;2;3;2;258
2;4;1;1;1;2;259
2;4;1;1;2;2;260
2;4;1;1;3;2;261
2;4;1;2;1;2;262
2;4;1;2;2;2;263
2;4;1;2;3;2;264
2;1;1;1;1;3;265
2;1;1;1;2;3;266
2;1;1;1;3;3;267
2;1;1;2;1;3;268
2;1;1;2;2;3;269
2;1;1;2;3;3;270
2;2;1;1;1;3;271
2;2;1;1;2;3;272
2;2;1;1;3;3;273
2;2;1;2;1;3;274
2;2;1;2;2;3;275
2;2;1;2;3;3;276
2;3;1;1;1;3;277
2;3;1;1;2;3;278
2;3;1;1;3;3;279
2;3;1;2;1;3;280
2;3;1;2;2;3;281
2;3;1;2;3;3;282
2;4;1;1;1;3;283
2;4;1;1;2;3;284
2;4;1;1;3;3;285
2;4;1;2;1;3;286
2;4;1;2;2;3;287
2;4;1;2;3;3;288
3;1;1;1;1;2;289
3;1;1;1;2;2;290
3;1;1;1;3;2;291
3;1;1;2;1;2;292
3;1;1;2;2;2;293
3;1;1;2;3;2;294
3;2;1;1;1;2;295
3;2;1;1;2;2;296
3;2;1;1;3;2;297
3;2;1;2;1;2;298
3;2;1;2;2;2;299
3;2;1;2;3;2;300
3;3;1;1;1;2;301
3;3;1;1;2;2;302
3;3;1;1;3;2;303
3;3;1;2;1;2;304
3;3;1;2;2;2;305
3;3;1;2;3;2;306
3;4;1;1;1;2;307
3;4;1;1;2;2;308
3;4;1;1;3;2;309
3;4;1;2;1;2;310
3;4;1;2;2;2;311
3;4;1;2;3;2;312
4;1;1;1;1;2;313
4;1;1;1;2;2;314
4;1;1;1;3;2;315
4;1;1;2;1;2;316
4;1;1;2;2;2;317
4;1;1;2;3;2;318
4;2;1;1;1;2;319
4;2;1;1;2;2;320
4;2;1;1;3;2;321
4;2;1;2;1;2;322
4;2;1;2;2;2;323
4;2;1;2;3;2;324
4;3;1;1;1;2;325
4;3;1;1;2;2;326
4;3;1;1;3;2;327
4;3;1;2;1;2;328
4;3;1;2;2;2;329
4;3;1;2;3;2;330
4;4;1;1;1;2;331
4;4;1;1;2;2;332
4;4;1;1;3;2;333
4;4;1;2;1;2;334
4;4;1;2;2;2;335
4;4;1;2;3;2;336
